# AlphaBot EC2 Container Log — 2026-04-29
# Container rebuilt at 09:16 UTC (per-strategy cooldown + tight-stop fix deployed)
# Logs before 09:16 UTC are not available in Docker log buffer (prior container run)
# Historical trades from all prior sessions are in the SQLite DB

2026-04-29T11:15:01.561375957Z 2026-04-29 11:15:01.561 | INFO     | alphabot.strategies.supertrend_rsi:generate_signal:158 | [supertrend_rsi] SOLUSDT LONG conf=69.8 entry=85.0000 SL=84.5714 TP1=85.6696
2026-04-29T11:15:01.562083273Z 2026-04-29 11:15:01.561 | INFO     | alphabot.strategies.engine:evaluate:158 | [Engine] SOLUSDT: Signal generated — LONG via supertrend_rsi confidence=69.8 regime=TRENDING_UP candidates=[supertrend_rsi:LONG:69.8]
2026-04-29T11:15:01.563796269Z 2026-04-29 11:15:01.563 | INFO     | alphabot.risk.position_sizer:calculate_position_size:136 | [Sizer] Position sized: qty=3.9626 usdt=336.83 risk=$16.84 (0.5%) lev=5x margin=67.37
2026-04-29T11:15:01.564090151Z 2026-04-29 11:15:01.564 | INFO     | alphabot.risk.risk_manager:validate_signal:237 | [Risk] APPROVED: SOLUSDT LONG conf=69.8 R:R=1.56 net_R:R=1.21 qty=3.9626
2026-04-29T11:15:01.979876356Z 2026-04-29 11:15:01.979 | INFO     | alphabot.execution.order_executor:place_market_order:59 | [Executor] Market order placed: SOLUSDT BUY qty=3.9626 reduceOnly=False orderId=1860555082
2026-04-29T11:15:02.350743230Z 2026-04-29 11:15:02.350 | INFO     | alphabot.execution.order_executor:place_stop_market:122 | [Executor] Stop-market order placed: SOLUSDT SELL qty=3.9626 stopPrice=84.57142857 reduceOnly=True orderId=1000000060952472
2026-04-29T11:15:02.363885357Z 2026-04-29 11:15:02.363 | INFO     | alphabot.positions.position_manager:open_position:273 | [PosManager] Position opened: 3890c265-ac6d-46e6-9cfc-d31a68473c25 SOLUSDT LONG qty=3.9626 entry=85.0 SL=84.57142857 TP1=85.66964286
2026-04-29T12:00:22.034928078Z 2026-04-29 12:00:22.034 | WARNING  | alphabot.risk.risk_manager:_log_rejection:324 | [Risk] REJECTED: SOLUSDT LONG — CORRELATION BLOCK — already LONG on SOLUSDT
2026-04-29T12:15:27.307722962Z 2026-04-29 12:15:27.307 | INFO     | alphabot.strategies.supertrend_rsi:generate_signal:158 | [supertrend_rsi] BTCUSDT LONG conf=78.5 entry=77292.8000 SL=76972.6629 TP1=77793.0143
2026-04-29T12:15:27.308813550Z 2026-04-29 12:15:27.308 | WARNING  | alphabot.risk.risk_manager:_log_rejection:324 | [Risk] REJECTED: BTCUSDT LONG — LOW NET R:R — 1.15 after fees < 1.15
